avg_global_supply_usd,avg_supply_on_chain_usd,blockchain,chain_supply_share_pct,currency,fee_per_supply_dollar,gas_fees_native,gas_fees_usd,token_symbol,transfer_count,transfer_volume_usd,unique_receivers,unique_senders,velocity,week
975989,300000.5714285714,base,30.73810989965783,EUR,1.061321059000459e-05,0.0015366849627482802,3.1839692416931427,EURAU,358,201406.25155423366,28,22,0.6713528930800302,2026-03-30
975989,675988.4285714285,ethereum,69.26189010034217,EUR,2.165712461524939e-07,7.0970055793629e-05,0.14639965636038038,EURAU,4,5051.246793706305,4,4,0.007472386479131223,2026-03-30
357460162.5714286,5756874.142857143,avalanche_c,1.610493908312591,EUR,6.010600538528992e-06,3.8867308475504334,34.60227082330077,EURC,38696,70561936.59793563,773,379,12.256987880390879,2026-03-30
357460162.5714286,51510008.85714286,base,14.409999840709522,EUR,0.00020277530746396426,5.052543917593759,10444.957883478666,EURC,495625,1539854390.4789448,8628,7091,29.894275397031198,2026-03-30
357460162.5714286,243900157.57142857,ethereum,68.23142355693743,EUR,1.7327579455033474e-05,2.04307416842577,4226.199359414113,EURC,16008,591674138.8547623,2549,2351,2.4258866609443857,2026-03-30
70408347.71428572,60461267.71428572,ethereum,85.87230019888429,EUR,5.6788058647401645e-05,1.657979165089945,3433.4780168551088,EURCV,22753,103672435.43054916,1387,1379,1.7146917249645026,2026-03-30
50968933,2965762,bnb,5.81876414795656,EUR,4.822562349918352e-06,0.02384599948929682,14.302572160018551,EURI,408,103853.0557847534,82,78,0.035017326334599135,2026-03-30
50968933,48003171,ethereum,94.18123585204344,EUR,6.209269697442141e-07,0.014388669520232853,29.806463507143334,EURI,193,663877.0699850644,84,63,0.013829858656318026,2026-03-30
26804198.14285714,1439828.2857142857,arbitrum,5.3716521495643965,EUR,4.49893487085984e-05,0.03134324859111999,64.77693682650344,EURe,9443,1865771.0048550349,1019,1159,1.2958288313730708,2026-03-30
26804198.14285714,5030825.285714285,ethereum,18.76879606284702,EUR,2.9518370087079693e-05,0.07190345007590034,148.50176262715271,EURe,1164,41110739.39100887,251,234,8.171768458695718,2026-03-30
26804198.14285714,18833757,gnosis,70.26420600095015,EUR,1.2661255274230844e-05,238.45238451644315,238.45900514983208,EURe,173001,62641695.8328204,5618,6514,3.3260329223118044,2026-03-30
26804198.14285714,963552.7142857143,polygon,3.5947828364434193,EUR,1.5649603705677407e-05,163.6656994550027,15.079218128101239,EURe,5801,3009435.9736695243,419,409,3.123270713736126,2026-03-30
1055347553.2857143,1838008,arbitrum,0.17416139301953695,JPY,3.423809393416817e-08,3.0576508348e-05,0.06292989055575257,GYEN,9,142.89838057739377,6,8,7.774633221258764e-05,2026-03-30
1055347553.2857143,952632110.2857143,ethereum,90.26714538919371,JPY,1.3988511543294888e-08,0.0064108830125894885,13.325905271245084,GYEN,46,16098.945600609912,31,22,1.689943623229486e-05,2026-03-30
1875482437,351748090,avalanche_c,18.755072458191194,JPY,2.6206518119383242e-08,1.0370666929891548,9.218092694043447,JPYC,5489,365234.6560076333,201,3455,0.0010383415472352197,2026-03-30
1875482437,553038691,ethereum,29.487809647774377,JPY,8.880051020917513e-07,0.23707127378199408,491.10117926214355,JPYC,1401,1218461.6204873652,279,291,0.0022032122531683144,2026-03-30
1875482437,970695655,polygon,51.75711784071482,JPY,3.115220537354843e-08,328.90186448691395,30.239310399771114,JPYC,8627,5783819.761767029,1798,2435,0.005958427579205584,2026-03-30
643222363.2857143,29572614,avalanche_c,4.597572424089378,TRY,2.6909403995432847e-10,0.0008948138071891731,0.007957814173269934,TRYB,49,2.857989885888237,5,5,9.664312684324209e-08,2026-03-30
643222363.2857143,8128868,base,1.263772602444362,TRY,2.0420794976713422e-08,8.0503305917262e-05,0.1659979468207665,TRYB,21,11979.411642911184,11,10,0.0014736875593146775,2026-03-30
643222363.2857143,9458563,bnb,1.4704966027119584,TRY,4.4978531000989525e-10,7.25085e-06,0.004254322691203125,TRYB,1,0.0010801587707793187,1,1,1.1419903539039903e-10,2026-03-30
643222363.2857143,49167969,ethereum,7.644008014404186,TRY,3.00667519945883e-08,0.000720466737313754,1.4783211300006058,TRYB,12,22438.564751033817,9,6,0.000456365499885379,2026-03-30
643222363.2857143,16903251,polygon,2.6279016347713196,TRY,3.907353944150681e-10,0.07206707680411252,0.006604698446381895,TRYB,5,5.69017297684155,5,4,3.3663186903167625e-07,2026-03-30
2707422.1428571427,547006,avalanche_c,20.203942020757225,CHF,1.1016803143603033e-08,0.000676357827228275,0.006026257420369721,VCHF,22,1.965420317212136,2,2,3.5930507475459793e-06,2026-03-30
2707422.1428571427,310659.85714285716,base,11.474378236968166,CHF,2.1768418347324023e-05,0.00326678851029521,6.762573734005631,VCHF,1384,240984.72015389078,68,58,0.7757188919425588,2026-03-30
2707422.1428571427,418681.5714285714,ethereum,15.464214641708468,CHF,2.9533281338592057e-06,0.0005944524936084781,1.2365040640283826,VCHF,7,28586.223351833054,5,5,0.06827676521394246,2026-03-30
1442334.857142857,39,arbitrum,0.0027039490730506014,EUR,0.00046395004310472875,8.80178563e-06,0.01809405168108442,VEUR,2,0.608978242574043,2,2,0.015614826732667769,2026-03-30
